iso3,country_name,degree,degree_centrality,betweenness_centrality,closeness_centrality
ALB,Albania,46,0.24083769633507854,0.0007255789520249488,0.5472779369627507
EGY,Egypt,44,0.23036649214659688,0.0003049973540993908,0.5504322766570605
KAZ,Kazakhstan,44,0.23036649214659688,0.00018155461434528157,0.5441595441595442
NZL,New Zealand,41,0.21465968586387435,0.012408972286097624,0.5441595441595442
RUS,Russia,41,0.21465968586387435,0.0014060109715896953,0.5350140056022409
MKD,North Macedonia,41,0.21465968586387435,0.00012343627222700197,0.53954802259887
ARM,Armenia,41,0.21465968586387435,6.607724111213293e-05,0.5305555555555556
MUS,Mauritius,39,0.2041884816753927,0.008636580609886892,0.5290858725761773
MNE,Montenegro,38,0.19895287958115185,0.0011666693136499519,0.53954802259887
BRB,Barbados,37,0.193717277486911,0.007003312899444529,0.5218579234972678
CHL,Chile,37,0.193717277486911,0.003634982255499338,0.5426136363636364
BHR,Bahrain,36,0.18848167539267016,0.003971496961349525,0.5290858725761773
LKA,Sri Lanka,36,0.18848167539267016,0.00043975644220936117,0.532033426183844
KWT,Kuwait,35,0.18324607329842932,0.0010244396963237222,0.5350140056022409
BIH,Bosnia and Herzegovina,33,0.17277486910994766,0.00013280792924559953,0.5204359673024523
BRA,Brazil,32,0.16753926701570682,0.0006808141714209687,0.5276243093922652
BLR,Belarus,32,0.16753926701570682,0.0002044740298958085,0.5013123359580053
SYC,Seychelles,29,0.15183246073298431,0.0038397187632080187,0.47277227722772275
SMR,San Marino,27,0.14136125654450263,0.0010534490933703782,0.4961038961038961
JOR,Jordan,27,0.14136125654450263,0.00010623256304957106,0.503957783641161
UZB,Uzbekistan,27,0.14136125654450263,5.778770818618768e-05,0.49869451697127937
MNG,Mongolia,26,0.13612565445026178,0.0012861745892609648,0.5
OMN,Oman,26,0.13612565445026178,0.0006500361720480055,0.5204359673024523
MDA,Moldova,26,0.13612565445026178,4.6144551095315714e-05,0.4935400516795866
PHL,Philippines,25,0.13089005235602094,0.0004338529331157447,0.5176151761517616
JAM,Jamaica,24,0.12565445026178013,0.003789806169152159,0.503957783641161
URY,Uruguay,23,0.12041884816753927,0.0012906031072033948,0.4910025706940874
ZMB,Zambia,23,0.12041884816753927,0.0003706194562356434,0.5134408602150538
